well,colony_id
A1,BK
A2,BK
A3,ACR-428
A4,ACR-428
A5,ACR-424
A6,ACR-424
A7,ACR-436
A8,ACR-436
A9,ACR-460
A10,ACR-460
A11,ACR-434
A12,ACR-434
B1,ACR-439
B2,ACR-439
B3,ACR-435-419
B4,ACR-435-419
B5,ACR-414
B6,ACR-414
B7,ACR-426
B8,ACR-426
B9,ACR-429
B10,ACR-429
B11,ACR-422
B12,ACR-422
C1,ACR-459
C2,ACR-459
C3,ACR-423
C4,ACR-423
C5,ACR-456
C6,ACR-456
C7,ACR-461
C8,ACR-461
C9,ACR-430
C10,ACR-430
C11,ACR-433
C12,ACR-433
D1,ACR-438
D2,ACR-438
D3,ACR-451
D4,ACR-451
D5,ACR-431
D6,ACR-431
D7,ACR-432
D8,ACR-432
D9,ACR-437
D10,ACR-437
D11,ACR-417
D12,ACR-417
E1,ACR-465
E2,ACR-465
E3,ACR-425
E4,ACR-425
E5,ACR-427
E6,ACR-427
E7,ACR-418
E8,ACR-418
E9,ACR-457
E10,ACR-457
E11,ACR-464
E12,ACR-464
F1,ACR-420
F2,ACR-420
F3,ACR-458
F4,ACR-458
F5,ACR-416
F6,ACR-416
F7,ACR-462
F8,ACR-462
F9,ACR-448
F10,ACR-448
F11,ACR-421
F12,ACR-421
G1,ACR-415
G2,ACR-415
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA